Data_Quality_Notes,type,title,director,cast,release_year,rating,Duration_Value,Duration_Unit,listed_in,description,Data_Quality_Notes
s843,TV Show,Supersize Vs Superskinny,Not Mentioned,"Christian Jessen, Anna Richardson, Gillian Mckeith, Daisy Donovan",2014,16+,5,Seasons,Special Interest,"Each Hour-Long Programme, Presented By Dr Christian Jessen, Will Feature A Short Diet Swap Between Two Contributors - All Of Whom Have Been Medically Assessed Prior To Filming - With Wildly Contrasting Eating Habits. The Show Will See A Superskinny Undereater Swap Diet And Lifestyle With An Overweight Overeater.",
s844,TV Show,Superships,Not Mentioned,Not Mentioned,2007,7+,1,Season,"Action, Adventure, Documentary","Explore The Incredible, Extreme Engineering At The Heart Of The World'S Largest Ships, From Double-Hulled Supertankers To The Largest Sailing Boats, The Greatest Heavy Lift Vessels To A Giant Floating Oil-Rig. Each Episode Offers A Close Up Look Into The Operation, Design, And Physics Of How These Super Ships Operate, From A Couple Of Very Remarkable Ferries, To Science Vessels And A Supertanker.",
s845,TV Show,Supermarket Sweep,Not Mentioned,David Ruprecht,2000,Tv-G,2,Seasons,Unscripted,Teams Answer Questions To Earn Time And Advantages Over Their Competitors Before Going On A Supermarket Shopping Spree. The Team That Adds The Most Valuable Items To Their Carts Wins.,
s846,TV Show,Superheroes: A Never-Ending Battle,Not Mentioned,"Liev Schreiber, Stan Lee, Linda Carter, Adam West",2013,Tv-Pg,1,Season,Special Interest,"Examines The Evolution Of Superhero Characters And The Comic Book Industry, Chronicling How Disposable Diversions That Cost Just A Dime Became The Foundation For A Multi-Billion Dollar Industry Whose Products Are An Influential Part Of Our National Identity.",
s847,Movie,"Superfish: Billfish, with David Attenborough",Rick Rosenthal,David Attenborough,2008,All,52,Min,"Documentary, Special Interest","The Marlin Is The Biggest, Fastest, And Most Dangerous Gamefish In The Sea. They Top Speeds Of 60 Miles Per Hour On Migrations That Can Span 9,000 Miles. The Largest Can Weigh Over 1,000 Pounds. Hemingway Immortalized Them In ""The Old Man And The Sea."" Award-Winning Filmmaker, Rick Rosenthal, Spend Two Years Traveling The Globe In A Quest To Document The Lives Of These Awe-Inspiring Predators.",
s848,TV Show,Superbook,Not Mentioned,"Shannon Chan-Kent, Sam Vincent, Cathy Weseluck",2015,7+,3,Seasons,"Animation, Faith And Spirituality, Kids",Chris Quantum Is Your Typical Middle School Student – Except If You Take Into Account One Of His Best Friends Is A Robot Named Gizmo. Add His Best Friend Joy Pepper Into The Mix And You Have A Recipe For Adventure. The Adventures Begin For This Trio When A Mysterious Device Appears And Takes Them On Journeys Throughout The Bible. Travel Back In Time And Get Ready For The Journey Of A Lifetime!,
s849,Movie,Super Size Me 2: Holy Chicken!,Morgan Spurlock,Morgan Spurlock,2019,Pg-13,103,Min,"Comedy, Documentary, Special Interest",Muckraking Filmmaker Morgan Spurlock Reignites His Battle With The Food Industry - This Time With Big Chicken - As He Opens His Own Fast Food Restaurant.,
s850,Movie,Super Size Me,Morgan Spurlock,Morgan Spurlock,2004,Pg-13,99,Min,Special Interest,"Winner At Sundance, Director Morgan Spurlock'S Social Experiment In Fast-Food Gastronomy Sees Him Attempting To Subsist Uniquely On Food From The Mcdonald'S Menu For An Entire Month. In The Process His Weight Balloons, His Energy Level Plummets And He Experiences All Sorts Of Unexpected – And Terrifying – Side Effects.",
s851,Movie,Super JoJo - Yes Yes Vegetables Song,Super Jojo,Super Jojo,2019,All,3,Min,Kids,"We Love Veggies!! Tomatoes, Bell Peppers, Green Peas, Carrots...They Are Good For You. Sing Along With Mom And Baby Jojo And Have Fun Eating Vegetables!",
s852,Movie,Supa Strikas - Keep Calm and Soccer On,Bruce Legg,Not Mentioned,2019,All,60,Min,"Animation, Documentary, Kids",Nothing Can Stop The Supa Strikas! The Whole Team Is Ready To Face Any Challenges Thrown Their Way! Watch Them Conquer Every Game And Win!,
s853,Movie,"Supa Strikas - Eat, Sleep, Play Soccer",Bruce Legg,Not Mentioned,2019,7+,60,Min,"Animation, Documentary, Kids",Endless Action Football Game From Your Favourite Football Team! Join Them As They Win Against All Odds!,
s854,Movie,Supa Strikas - Best in the Field,Bruce Legg,Not Mentioned,2019,7+,60,Min,"Animation, Kids, Sports","About The World'S Greatest Football Team. Despite Their Enormous Talent, The Players Must Adapt In A Game Where Being The Best Is Only The Beginning, And Where The Opposition Is Always Full Of Surprises.",
s855,Movie,Supa Strikas - Alive and Kickin',Bruce Legg,Not Mentioned,2019,7+,60,Min,"Animation, Kids, Sports","About The World'S Greatest Football Team. Despite Their Enormous Talent, The Players Must Adapt In A Game Where Being The Best Is Only The Beginning, And Where The Opposition Is Always Full Of Surprises.",
s856,Movie,Supa Strikas - A Goal in One!,Bruce Legg,Not Mentioned,2019,7+,59,Min,"Animation, Documentary, Kids",Will The Greatest Soccer Team Be Able To Keep Their Title As The Best Soccer Team To Ever Exist? Will Their Friendship Remain Strong? Follow Their Journey And Their Friendship As They Win Against All The Odds!,
s857,Movie,Sunshine State,John Sayles,"Angela Bassett, Mary Steenburgen, Edie Falco, Timothy Hutton, Miguel Ferrer, Marc Blucas, Bill Cobbs, Jane Alexander, Ralph Waite, Richard Edson",2002,Pg-13,141,Min,"Arthouse, Drama, Romance","A Woman (Angela Bassett) And Her New Husband Returns To Her Hometown Roots In Coastal Northern Florida, And Must Deal With Family, Business, And Encroaching Real Estate Development.",
s858,TV Show,Sunshine Sento-Sake (Subbed) (4k UHD),Not Mentioned,Not Mentioned,2016,Tv-Nr,1,Season,Tv Shows,"Takayuki Utsumi (Shigeyuki Totsugi) Is A 42-Year-Old Salesman. A Year Ago, He Was Transferred To The Sales Department, But He Is Always At The Bottom Of The Sales Pyramid. What Keeps Him Going, Is Ditching Work And Going To The ""Sento"" (Bath House) During The Day, On Weekdays.
He Cannot Stay Away From The Bath Houses, Once He Sees One. Once Inside The Bath... There Awaits A Little Piece Of Heaven.",
s859,TV Show,Sunshine Sento-Sake (Subbed),Not Mentioned,Not Mentioned,2016,Tv-Nr,1,Season,Tv Shows,"Takayuki Utsumi (Shigeyuki Totsugi) Is A 42-Year-Old Salesman. A Year Ago, He Was Transferred To The Sales Department, But He Is Always At The Bottom Of The Sales Pyramid. What Keeps Him Going, Is Ditching Work And Going To The ""Sento"" (Bath House) During The Day, On Weekdays.
He Cannot Stay Away From The Bath Houses, Once He Sees One. Once Inside The Bath... There Awaits A Little Piece Of Heaven.",
s860,Movie,Sunshine Hotel,Michael Dominic,"Michael Dominic, Nathan Smith, Ray Stark",2002,13+,99,Min,"Documentary, Special Interest","[Remastered 2017] As Seen On Sundance Channel. A Journey Into The Last ""Flophouse"" On New York City'S Infamous Skidrow, The Bowery. Filmmaker Michael Dominic Takes His Camera Behind The Doors Of The Sunshine Hotel, One Of The Few Remaining Affordable Refuges For The Destitute And Out Of Luck, A World That Has Seemingly Stood Still For More Than Eight Decades.",
s861,Movie,Sunset On The Desert,Reel,"Roy Rogers, George 'Gabby' Hayes, Lynne Carver, Frank M. Thomas, Beryl Wallace, Glenn Strange, Douglas Fowley, Fred Burns, Roy Barcroft, Henry Wills, Forrest Taylor, Sons Of The Pioneers, Pat Brady, Ralph Bucko, Roy Bucko, Bob Card, Ed Cassidy, Dorothy Christy, Jim Corey, Art Dillard, Hugh Farr, Karl Farr",1942,Pg,55,Min,Western,"Roy'S Strong Resemblance To A Notorious Crook Gives Him A Chance To Infiltrate The Gang, But The Usual Complications Arise When The Look-Alike Desperado Returns. It'S Fun To Watch Roy Rogers Play The Tough Guy.",
s862,Movie,Sunrise on the Bosphorus,Mark Knight,Not Mentioned,2019,All,30,Min,"Documentary, Special Interest","Relax With A Beautiful Sunrise Over The Bosphorus Strait Overlooking The World Famous Bosphorus Bridge. Filmed In Early Summer, The Strait Comes To Life With Birds, Boats As Early Morning Slowly Turns Into Day.",
s863,Movie,Sunnyside,Timothy Galfas,"John Lansing, Joey Travolta",1979,R,101,Min,"Action, Drama",An Emotionally Charged Saga Of Explosive Violence And Romance Set In New York City As A Family Fight For Survival In An Area Infested By Street Gangs.,
s864,TV Show,Sunny Bunnies,Not Mentioned,Not Mentioned,2018,Tv-Y,2,Seasons,"Animation, Kids","Our Little Fluffy-Eared Friends Sunny Bunnies Like Keeping Themselves Busy And Continue To Do So In Season 3: They Discover The World Of Magic, Getting Sporty, Constructing Things, Growing Plants, Explore Different Cultures And Even Race The Wolf In Their Little Racing Cars!",
s865,Movie,Sundown Saunders,Robert N. Bradbury,"Bob Steele, Marie Burton, Ed Cassidy, Charles King, Milburn Morante, Earl Dwire, Jack Rockwell, Edmund Cobb",1935,Pg,70,Min,Western,"Sundown Saunders (Steele) Wins A Ranch On A Prime Piece Of Property, But When He Arrives There With His Friend Smokey, He Finds Dad Preston And His Daughter Bess Already Living On The Ranch. The Prestons Are Close To Buying The Ranch From Taggart, A Criminal Posing An An Offical Federal Land Agent. Taggart Shoots Mace, One Of His Own Men, Pinning The Act On Sundown. Taggart Ambushes Dad Preston To Retrieve The Fake Deed And Plans To Rob The Bank. Mace Tells The Sheriff Before He Dies That Sundown Didn'T Shoot Him And Of The Robbery Plans. A Posse Is Formed Leading To A Final Exciting Showdown.",
s866,Movie,Sundown,Henry Hathaway,"Bruce Cabot, Gene Tierney, George Sanders, Cedric Hardwicke, Harry Carey",1941,7+,90,Min,"Drama, Military And War","In Africa, During World War Ii, British Major Coombescannot Abide The Local Arab Population, And Has Even Less Time For District Commissioner Crawford, Who Has Befriended The Natives.",
s867,TV Show,Summer 2019 American Road Trip,Not Mentioned,Robert Morales,2020,7+,1,Season,Special Interest,One Man'S Dream To Drive Cross-Country And See The Extreme Points Of The Contiguous Mainland United States,
s868,TV Show,Suits,Not Mentioned,"Gabriel Macht, Rick Hoffman, Sarah Rafferty, Dulé Hill, Katherine Heigl, Amanda Schull",2019,Nr,9,Seasons,Drama,"Suits Centers On A Fast-Paced Manhattan Corporate Law Firm Led By Legendary Lawyer Harvey Specter (Gabriel Macht), His Intelligent But Delicate Partner, Louis Litt (Rick Hoffman), And Secretary-Turned-Coo Donna Paulsen (Sarah Rafferty).",
s869,Movie,Suicide,"Raoul W. Heimrich, Yvonne Wunschel","Markus H. Eberhard, Katja Weber, Beatrice Heimrich",2001,18+,84,Min,"Action, Drama, Horror",A Young Couple Film People Committing Suicide And Broadcast The Deaths On Their Up-And-Coming Website!,
s870,Movie,Sui Dhaaga - Made In India,Sharat Katariya,"Anushka Sharma, Varun Dhawan, Raghubir Yadav, Yamini Dass, Sawan Tank, Manukriti Pahwa, Namit Das, Puja Sarup, Mahesh Sharma, Shrikant Verma",2018,7+,122,Min,"Drama, International","""Sui Dhaaga - Made In India"" Is A Heart-Warming Story Of Pride And Self-Reliance. Through Mauji (Varun Dhawan) & His Wife Mamta (Anushka Sharma), The Film Talks About The Need Of Entrepreneurship As A Tool For Social & Economic Development Of Our Artisans. Set In A Small Town In India, It Is The Journey Of An Honest Man From A Humble Background,Who Pursues His Passion, Overcoming All Odds",
s871,Movie,Sufiyum Sujatayum,Naranippuzha Shanavas,"Jayasurya, Aditi Rao Hydari, Dev Mohan, Siddique, Mamukoya, Harish Kanaran, Kalaranjini",2020,13+,123,Min,"Drama, Romance",Dr. Rajeev (Jayasurya) And His Wife Sujata (Aditi Rao Hydari) Come From Dubai To Participate In The Last Rituals Of Sujata'S Friend And Ex Love Affair Who Was A Sufi. The Events Which Happen When They Land In The Village Forms The Rest Of The Plot.,
s872,TV Show,Subaru Launch Control,Not Mentioned,"Travis Pastrana, Brandon Semenuk, Scott Speed",2021,13+,3,Seasons,"Documentary, Special Interest, Sports","Season 8 Documents A Year Of Upheaval And Persistence Including An All-New Rally Driver Lineup With Travis Pastrana And Brandon Semenuk, A Season Delayed And Shortened By Covid-19, And The Return Of Rallycross Ace Scott Speed After A Season-Ending Back Injury. The Season Concludes With A Two-Part Miniseries Covering The Build Of A One-Off Car For Subaru'S Return To The Gymkhana Franchise.",
s873,Movie,Student of the Year 2,Punit Malhotra,"Tiger Shroff, Tara Sutaria, Ananya Panday",2019,13+,146,Min,"Drama, International","Rohan (Tiger Shroff) Is A Student, Athlete From A Mediocre Pishorilal Chamandas College. He Dreams Of Becoming The Student Of The Year One Day. His Life Takes A Turn, When He Gets Accepted To St. Teresa College, Encounters His Rival Manav & Has The Beautiful Shreya And Mia Who Begin To Fall For Him. Their Life Gets Tangled Through Competition, Failure, Manipulation And Heartbreaks.",
s874,Movie,Striking Range,Daniel Millican,"Lou Diamond Phillips, Yancy Butler",2006,R,96,Min,"Action, Suspense","Ted Billings (Glenn Morshower) Is A Corrupt Businessman In Need Of Protection. His Security Chief, Emily (Yancy Butler), Recommends Her Former Lover Vash (Lou Diamond Phillips), An Experienced Mercenary With An Arsenal Of Weapons He'S Itching To Use.",
s875,TV Show,Streets of Compton,Not Mentioned,"Alonzo Williams, Game",2016,Tv-14,1,Season,"Documentary, Special Interest","Streets Of Compton, A Three-Part Documentary Film, Features Rapper The Gam As He Revisits His Hometown Of Compton And Explores Its Storied History With Notable Residents.",
s876,Movie,Street Dance,"Dania Pasquini, Max Giwa","Nichola Burley, Richard Winsor, Charlotte Rampling",2013,13+,99,Min,"Arts, Entertainment, And Culture, Drama",A High-Energy Dance Drama About A Street Dance Crew And A Group Of Royal Ballet Dancers. The Two Groups Form An Unlikely Alliance And Created An Exciting New Form Of Modern Dance.,
s877,Movie,Strategic Air Command,Anthony Mann,"James Stewart, June Allyson, Frank Lovejoy, Barry Sullivan, Alex Nicol",1955,7+,114,Min,"Action, Drama",Aviation And Sports Come Together As A Baseball Player Is Recalled To Air Force Duty.,
s878,Movie,Strange Wilderness,Fred Wolf,"Steve Zahn, Allen Covert, Jonah Hill, Kevin Heffernan, Ashley Scott, Peter Dante, Harry Hamlin, Robert Patrick, Joe Don Baker, Blake Clark, Justin Long, Jeff Garlin, Ernest Borgnine, Jake Abel, Oliver Hudson",2008,R,85,Min,"Action, Young Adult Audience","With The Ratings Dropping For A Wilderness-Themed Television Show, Two Animal Fans Go To The Andes Mountains In Search Of Bigfoot.Comed",
s879,TV Show,Strange Love,Not Mentioned,"Flavor Flav, Brigitte Nielsen",2005,16+,1,Season,Tv Shows,"Fans Of The Surreal Life On Vh1 Know That Brigitte Nielsen And Flavor Flav Made A Splash Together In And Out Of The Swimming Pool. Now, Vh1 Is Reuniting The Ghetto-Flash And Euro-Trash Duo To See If Their Love Is The Real Deal. Brigitte, Now Back At Her Home In Milan Living Her Clothing-Optional Lifestyle, Can'T Stop Thinking About Her Rambunctious ""Fuffy-Fuffy."" Was It Just A Fling?",
s880,TV Show,Strange Empire Series,Not Mentioned,"Cara Gee, Tattiawna Jones, Melissa Farman, Aaron Poole",2015,13+,1,Season,"Drama, Western","With Most Of Their Men Gone, And Those Who Remain Battling For Control, The Women Struggle To Survive, To Find Their Independence, And To Build A Life In Which To Thrive And Raise Families. As The Stories Of Janestown'S Citizens Unfold We See The Clash Between A Power-Hungry Father And Son And The Deep Prejudices Among Races, But Also The Start Of Something Akin To Community In This Wild West.",
s881,Movie,Straight Shooter,Sam Newfield,"Tim Mccoy, Julie Sheldon, Ben Corbett, Ted Adams, Reed Howes, Forrest Taylor, Budd Buster, Carl Mathews, Jack Ingram",1940,13+,48,Min,Western,"Federal Agent ""Lightning"" Bill Carson (Mccoy) Is On The Trail Of A Gang Of Outlaws Who Robbed A Train Carrying Half A Million Dollars In Government Bonds, Killing An Agent In The Process. Gang Leader Brainard Murders One Of His Men After He Reveals Where He Hid The Stolen Bonds On A Ranch Up For Auction. Carson Goes Undercover As Rancher Sam Brown To Fight Brainard For Ownership Of The Ranch. With Tim Mccoy Advertised As One Of The Fastest Guns In Hollywood In The Late 1930'S, There Is Plenty Of Fast Gun Fights And Action Scenes To Highlight Mccoys Prowess With A Gun.",
s882,Movie,Storytime with Mila and Morphle,Arthur Van Merwijk,Sabrina Glow,2019,All,38,Min,"Animation, Kids","In This Compilation Of My Magic Pet Morphle, Watch Morphle As He Morphs Into Mila, A Big Red Truck, And A Big Red Magical Reindeer!",
s883,Movie,Storm Boy,Shawn Seet,"Jai Courtney, Geoffrey Rush, Finn Little, Trevor Jamieson, Morgan Davies, Eric Thomson, Natasha Wanganeen, Luca Sardelis, Michelle Nightingale",2019,Pg,99,Min,"Drama, Faith And Spirituality, Kids","When Michael Kingley, A Successful Retired Businessman Starts To See Images From His Past That He Can'T Explain, He'S Forced To Remember His Childhood And How, As A Boy, He Rescued And Raised An Extraordinary Orphaned Pelican, Mr Percival. Based On The Classic Australian Novel. Earned The Coveted Dove Seal Of Approval.",
s884,TV Show,Storage Wars: Texas,Not Mentioned,"Walt Cade, Ricky Smith, Bubba Smith, Mary Padian",2012,Tv-14,1,Season,Tv Shows,The Stakes Are High And The Drama Intense In The Lone Star State As Storage Wars Follows Five Dallas Storage Unit Hunters In Their Quest For Auction Gold.,
s885,TV Show,Storage Wars: Northern Treasures,Not Mentioned,"Don Reinhart, Roy Dirnbeck, Cindy Hayden, Rick Coffill, Ursula Stolf, Paul Kenny, Bogart Kenny",2014,Tv-14,1,Season,Unscripted,"At Storage Auctions In Canada, High-Stakes Buyers Convene Daily, Bidding Against One Another On Repossessed And Forgotten Storage Units. Following Four Teams Of Bidders Looking To Score Big, Storage Wars Canada Is A Modern-Day Treasure Hunt. Armed With A Flashlight, An Expert Eye And A Unique Instinct, Bidders Use Their Combined Knowledge, Expertise And Wit To Outbid One Another And Score Big.",
s886,TV Show,Storage Wars New York,Not Mentioned,"Joe Pauletich, John Luke",2013,Tv-Pg,1,Season,Tv Shows,"Everyone'S Favorite Modern-Day Treasure Hunters Continue On Their Quest For The Extraordinary In An Action Packed All-New Season Of Dramatic Bidding, Intense Rivalries And High-Stakes Entertainment.",
s887,TV Show,Storage Wars,Not Mentioned,Not Mentioned,2011,Tv-14,1,Season,Tv Shows,"Packed With Dramatic Bidding, Intense Rivalries And Quirky Personalities, ""Storage Wars"" Follows Treasure Hunters Darrell, Brandon, Jarrod, And Brandi As They Seek To Score Big.",
s888,Movie,Stop Making Sense,Jonathan Demme,"David Byrne, Chris Frantz, Jerry Harrison, Tina Weymouth",1984,7+,88,Min,"Documentary, Music Videos And Concerts",Stop Making Sense Is Director Jonathan Demme'S Remarkable Concert Film That Captures The Enormous Energy And Joyous Highs Of The Talking Heads Live Performance.,
s889,Movie,Stitches,Conor Mcmahon,"Ross Noble, Tommy Knight",2012,R,86,Min,"Comedy, Horror","In This Deliriously Twisted Slasher Comedy, Vile And Foul-Mouthed Hired Clown Stitches Meets An Untimely End Thanks To A Party Prank Gone Horribly - And Hilariously - Awry. Years Later, He Returns From The Grave, Ready For Revenge...",
s890,Movie,Still Today,Tommy Walton,"Jody Thompson, Teri Wyble, Mark Ashworth, Thomas Elliott, Hunter Burke",2020,Not Rated,82,Min,Comedy,"After Being Left At The Altar, Pete'S Groomsman Give Him A Wedding Gift He'Ll Never Forget. An Escort. Maybe It'S The Lunar Eclipse, Maybe It'S Fate, But After A Magical Night In The City Maybe This Girl Is What Pete Needed All Along.",
s891,Movie,Still Mine,Michael Mcgowan,"James Cromwell, Geneviève Bujold, Chuck Shamata, Campbell Scott, Zachary Bennett",2013,Pg-13,103,Min,"Arthouse, Drama","James Cromwell Gives A Tour De Force Performance In 'Still Mine,' A Deeply Moving Love Story About A Couple In Their Twilight Years. When Craig Sets Out To Build A More Suitable House For His Ailing Wife Irene, He Is Blindsided By The Bureaucratic Codes And Officials. As Irene Becomes Increasingly Ill, Craig Takes A Final Stance Against All Odds To Finish The House, In A Truly Inspirational Story.",
s892,Movie,Sticky Fingers,Catlin Adams,"Melanie Mayron, Helen Slater",1988,Pg-13,85,Min,Comedy,"This Comedic Fable Is About Two Broke Musicians, Lolly And Hattie On The Run From The Chinese Mafia Because Of A Bag Of Drug Money Left In Their Apartment. They Start To Borrow The Money To Replace Their Stolen Instruments And Pay Their Rent.",
s893,Movie,Stick Man,"Jeroen Jaspaert, Daniel Snaddon","Martin Freeman, Jennifer Saunders, Russell Tovey, Hugh Bonneville, Rob Brydon, Sally Hawkins",2015,All,27,Min,"Adventure, Animation, Kids","A Half-Hour Animation Based On The Much-Loved Children'S Picture Book By Julia Donaldson And Axel Scheffler. Stick Man Tells The Tale Of A Happy-Go-Lucky Father'S Epic Adventure Across The Seasons As He Runs From A Playful Dog, Gets Thrown In A River, Escapes From A Swan'S Nest And Even Ends Up On Top Of A Fire. Will He Get Back To His Family In Time For Christmas?",
s894,TV Show,Steven Seagal Lawman,Not Mentioned,"Steven Seagal, Larry Dyess",2010,Tv-14,2,Seasons,"Documentary, Special Interest","Steven Seagal Doesn'T Come To The Rescue In Just His Movies. ""Steven Seagal: Lawman"" Follows The Action Star And Real-Life Sheriff'S Deputy As He And His Team Respond To Crimes In Progress In Jefferson Parish, Louisiana.",
s895,Movie,Steve Treviño: My Life In Quarantine,Rick Cikowski,"Steve Treviño, Renae Treviño",2020,18+,72,Min,"Arts, Entertainment, And Culture","Steve Treviño'S New Comedy Special Is About His Life In Quarantine. On September 12Th, Steve Trevino Performed This Once In A Lifetime Show Outdoors, In-Front Of A Masked, Socially Distanced Audience. Plus Stick Around After The Special For The Live Taping Of Steve'S Hit Podcast ""Steve Treviño & Captain Evil: The Podcast.",
s896,Movie,Steve Hofstetter: Ginger Kid,Steve Hofstetter,Steve Hofstetter,2015,7+,65,Min,"Arts, Entertainment, And Culture, Documentary","Recorded Live At The Historic Chinese Theatre In Hollywood, Ginger Kid Is Steve Hofstetter'S 6Th Album. A Dark And Honest Look At Subjects Ranging From Growing Up With Red Hair To Population Control, This Hour-Long Special Is Hofstetter'S Best Yet.",
s897,Movie,Steve Byrne: The Byrne Identity,Manny Rodriguez,Steve Byrne,2010,18+,73,Min,"Arts, Entertainment, And Culture, Comedy, Special Interest",Steve Byrne Has Established Himself As One Of The Premier Stand-Up Comedians Of His Generation.,
s898,TV Show,Stephen Fry: Gadget Man,Not Mentioned,Stephen Fry,2012,Tv-14,1,Season,"Documentary, Special Interest, Unscripted","Writer, Comedian And Tv Icon Stephen Fry Demonstrates Wonderful New Innovations Designed To Make Our Lives Just A Bit Easier In This Tech-Driven Reality Talk Show.",
s899,Movie,Stepfather 2,Jeff Burr,"Terry O'Quinn, Meg Foster, Caroline Williams, Jonathan Brandis, Henry Brown, John O'Leary",1989,R,84,Min,"Horror, Suspense","After Escaping The Insane Asylum In Which He Was Incarcerated, The Stepfather Impersonates A Marriage Counselor And Manages To Win Over A Patient And Her Young Son.",
s900,Movie,Step On It,Harry S. Webb,"Richard Talmadge, Lois Wilde, Roger Williams, George Walsh, Eddie Davis, Earl Dwire",1935,13+,56,Min,"Action, Drama","Motorcycle Cop Larry Evans (Richard Talmadge) Is Fired From The Force Unfairly After Arresting A Speeding Heiress. He Attempts To Solve A String Of Truck Hijackings In Order To Clear His Name And Return To The Force, But Faces Many Obstacles And A Great Deal Of Danger.",
s901,Movie,Stella Dallas (1937),King Vidor,"Barbara Stanwyck, John Boles, Anne Shirley",1937,13+,106,Min,"Drama, Romance",A Working-Class Woman Is Willing To Do Whatever It Takes To Give Her Daughter A Socially Promising Future.,
s902,Movie,Steep,Mark Obenhaus,"Bill Briggs, Stefano De Benedetti, Eric Pehota",2007,13+,90,Min,"Documentary, Sports","The World'S Best Skiers Go Beyond Their Wildest Dreams To Conquer The Steepest Runs Ever Faced. Fantastically Beautiful Images, Along With Devastating Avalanches And Fatal Spills Only Serve To Push Them Harder - Higher – And Faster.",
s903,Movie,Stealing Paradise,Tristan Dubois,"Rachael Leigh Cook, Graham Abbey, Paula Jean Hixson, Neil Napier, Jonathan Higgins, Tammy Gillis",2012,Not Rated,89,Min,"Drama, Suspense","Amanda, A Brilliant Engineer, Is Enraged When Her Breakthrough Design Is Stolen And Patented By Her Colleague Brendan. When He Is Found Murdered, Amanda Is The Prime Suspect And Soon Finds She Is Not Only Fighting For Her Design - But For Her Life - As Someone Out There Is Determined To Silence Her Protest For Good.",
s904,TV Show,State of Mind,Not Mentioned,"Niamh Cusack, Rowena Cooper, Andrew Lincoln",2003,16+,1,Season,Tv Shows,"Grace Hazlett, Reeling From The Brutal Discovery Of Her Husband'S Adultery, Takes Their Young Son Adam To Move Back To Her Old Family Home. Her Mother Isabel, Now Widowed, Is A Busy Gp And Set In Her Own Ways.",
s905,TV Show,StarTalk with Neil deGrasse Tyson,Not Mentioned,Not Mentioned,2019,Nr,1,Season,Tv Shows,"Host Neil Degrasse Tyson Brings Together A Rare Mix Of Personalities, Including Celebrities, Comedians And Leading Scientific Experts, To Explore A Variety Of Cosmic Topics.",
s906,TV Show,Star Trek: Voyager,Not Mentioned,"Kate Mulgrew, Robert Beltran, Roxann Biggs-Dawson, Jennifer Lien, Robert Duncan Mcneill, Ethan Phillips, Robert Picardo, Tim Russ, Garrett Wang, Jeri Ryan",2001,Tv-Pg,7,Seasons,"Drama, Science Fiction, Special Interest","In Season 7, Janeway Leads The Crew Through A Fierce Fight Against The Borg Drones; Delves Into Political Infighting; Wrestles Her Way Out Of A Void; And, Finally, Makes Her Way Back Home.",
s907,TV Show,Star Trek: The Next Generation,Not Mentioned,"Patrick Stewart, Jonathan Frakes, Levar Burton, Brent Spiner, Michael Dorn, Marina Sirtis, Gates Mcfadden, Wil Wheaton, Denise Crosby, Diana Muldaur, Whoopi Goldberg",1994,Nr,7,Seasons,"Drama, Science Fiction, Special Interest","The Seventh And Final Season Of This Beloved Sci-Fi Series Begins With Data (Brent Spiner) Experiencing Negative Emotions Such As Anger, While His Lookalike ""Brother,"" Lore, Leads A Dangerous, Independent Faction Of Borg To Destroy All Organic Life.",
s908,TV Show,Star Trek: Enterprise,Not Mentioned,"Scott Bakula, Jolene Blalock, Connor Trinneer, Dominic Keating, Anthony Montgomery, Linda Park, John Billingsley",2005,Tv-Pg,4,Seasons,Science Fiction,"Led By Capt. Jonathan Archer (Scott Bakula), The Crew Of The Uss Enterprise Rides High Once More, Hurtling Through Time And Space In Search Of Its Ultimate Destiny.",
s909,TV Show,Star Trek: Deep Space Nine,Not Mentioned,"Avery Brooks, Nana Visitor, Colm Meany, Rene Auberjonoi, Armin Shimerman, Cirroc Lofton, Michael Dorn, Alexander Siddig",1999,Tv-Pg,7,Seasons,"Drama, Science Fiction, Special Interest",The Mixed Deep Space Nine Crew Of Federation And Bajoran Officers Winds Up The Seventh And Final Season Of The Show With Suspenseful Episodes That Try To Pull Together All The Plot Threads (Or At Least The Biggest Ones).,
s910,TV Show,Star Trek:  The Original Series,Not Mentioned,Walter Koenig,1969,Tv-Pg,3,Seasons,"Action, Adventure, Science Fiction",The Year Is 2268. It'S Not Going To Be A Good Year For Captain James T. Kirk.,
s911,TV Show,Star Trek Original (Remastered),Not Mentioned,"Leonard Nimoy, William Shatner, Deforest Kelley",1969,Tv-Pg,3,Seasons,Science Fiction,"In The Final Season Of This Groundbreaking Sci-Fi Series, Kirk Tries To Track Down Spock'S (Leonard Nimoy) Stolen Brain, Reenacts The Shootout At The O.K. Corral And Gets Trapped Between Dimensions.",
s912,Movie,"Stallone: Frank, That Is",Derek Wayne Johnson,"Frank Stallone, Sylvester Stallone, Billy Dee Williams, Joe Mantegna, Talia Shire, Billy Zane, Geraldo Rivera, Danny Aiello, Burt Young, Frankie Avalon",2021,7+,73,Min,Documentary,"An Inside Look Into The Fascinating Life, Career And Survival Of The Most Unknown Famous Entertainer In Hollywood. Frank Stallone Has Seen And Done It All. But, Who Is Frank Stallone? You Know The Name, Now Discover The Grammy And Golden Globe Nominated Singer, Songwriter, Musician And Actor Who Has Been Entertaining Audiences For Over Fifty Years, All The While Living In A Giant Shadow.",
